product,country,price,millisSinceEpoch
butter,belgium,276,1122854400000
butter,belgium,274,1125532800000
butter,belgium,274,1128124800000
butter,belgium,273,1130803200000
butter,belgium,269,1133395200000
butter,belgium,262,1136073600000
butter,belgium,261,1138752000000
butter,belgium,258,1141171200000
butter,belgium,255,1143849600000
butter,belgium,253,1146441600000
butter,belgium,253,1149120000000
butter,belgium,253,1151712000000
butter,belgium,253,1154390400000
butter,belgium,255,1157068800000
butter,belgium,259,1159660800000
butter,belgium,261,1162339200000
butter,belgium,262,1164931200000
butter,belgium,261,1167609600000
butter,belgium,255,1170288000000
butter,belgium,262,1172707200000
butter,belgium,272,1175385600000
butter,belgium,293,1177977600000
butter,belgium,321,1180656000000
butter,belgium,376,1183248000000
butter,belgium,428,1185926400000
butter,belgium,452,1188604800000
butter,belgium,437,1191196800000
butter,belgium,390,1193875200000
butter,belgium,314,1196467200000
butter,belgium,315,1199145600000
butter,belgium,317,1201824000000
butter,belgium,300,1204329600000
butter,belgium,297,1207008000000
butter,belgium,291,1209600000000
butter,belgium,300,1212278400000
butter,belgium,308,1214870400000
butter,belgium,297,1217548800000
butter,belgium,269,1220227200000
butter,belgium,252,1222819200000
butter,belgium,245,1225497600000
butter,belgium,233,1228089600000
butter,belgium,222,1230768000000
butter,belgium,221,1233446400000
butter,belgium,221,1235865600000
butter,belgium,224,1238544000000
butter,belgium,226,1241136000000
butter,belgium,232,1243814400000
butter,belgium,235,1246406400000
butter,belgium,247,1249084800000
butter,belgium,274,1251763200000
butter,belgium,315,1254355200000
butter,belgium,339,1257033600000
butter,belgium,324,1259625600000
butter,belgium,303,1262304000000
butter,belgium,286,1264982400000
butter,belgium,286,1267401600000
butter,belgium,308,1270080000000
butter,belgium,351,1272672000000
butter,belgium,362,1275350400000
butter,belgium,368,1277942400000
butter,belgium,360,1280620800000
butter,belgium,363,1283299200000
butter,belgium,361,1285891200000
butter,belgium,356,1288569600000
butter,belgium,357,1291161600000
butter,belgium,368,1293840000000
butter,belgium,392,1296518400000
butter,belgium,394,1298937600000
butter,belgium,386,1301616000000
butter,belgium,402,1304208000000
butter,belgium,411,1306886400000
butter,belgium,413,1309478400000
butter,belgium,402,1312156800000
butter,belgium,399,1314835200000
butter,belgium,391,1317427200000
butter,belgium,378,1320105600000
butter,belgium,365,1322697600000
butter,belgium,353,1325376000000
butter,belgium,336,1328054400000
butter,belgium,311,1330560000000
butter,belgium,265,1333238400000
butter,belgium,250,1335830400000
butter,belgium,261,1338508800000
butter,belgium,271,1341100800000
butter,belgium,287,1343779200000
butter,belgium,321,1346457600000
butter,belgium,326,1349049600000
butter,belgium,344,1351728000000
butter,belgium,348,1354320000000
butter,belgium,341,1356998400000
butter,belgium,340,1359676800000
butter,belgium,345,1362096000000
butter,belgium,401,1364774400000
butter,belgium,412,1367366400000
butter,belgium,416,1370044800000
butter,belgium,421,1372636800000
butter,belgium,429,1375315200000
butter,belgium,426,1377993600000
butter,belgium,415,1380585600000
butter,belgium,411,1383264000000
butter,belgium,414,1385856000000
butter,belgium,402,1388534400000
butter,belgium,362,1391212800000
butter,belgium,356,1393632000000
butter,belgium,348,1396310400000
butter,belgium,341,1398902400000
butter,belgium,347,1401580800000
butter,belgium,346,1404172800000
butter,belgium,329,1406851200000
butter,belgium,297,1409529600000
butter,belgium,297,1412121600000
butter,belgium,297,1414800000000
butter,belgium,287,1417392000000
butter,belgium,290,1420070400000
butter,belgium,337,1422748800000
butter,belgium,331,1425168000000
butter,belgium,313,1427846400000
butter,belgium,302,1430438400000
